大手企業,（紹介予定）雇用形態備考,1日7時間以下勤務OK,期間・時間　勤務時間,派遣形態,正社員登用あり,残業月20時間未満,勤務地　備考,仕事の仕方,未経験OK
0,,1,9:30〜16:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都足立区,2,1
1,正社員,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,0
1,正社員,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,0
0,正社員,0,9:00〜17:30　<BR>※休憩は６０分です。,1,1,0,東京都中央区,1,1
0,正社員,0,9:00〜17:30　<BR>※休憩は６０分です。,1,1,0,東京都中央区,1,1
1,正社員,0,9:00〜17:40　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,4,1
0,,1,8:30〜16:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都世田谷区,2,1
0,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都足立区,3,1
0,契約社員,0,8:30〜17:15　<BR>※休憩は６０分です。９時〜１７時４５分の勤務も選べます。,1,0,0,東京都墨田区,3,1
0,契約社員,0,8:30〜17:15　<BR>※休憩は６０分です。９時〜１７時４５分の勤務も選べます。,1,0,0,東京都墨田区,3,1
1,正社員,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,0
1,正社員,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,0
0,正社員,0,9:00〜18:00　<BR>※休憩は６０分です。,1,1,0,東京都千代田区,5,0
0,正社員,0,9:00〜18:00　<BR>※休憩は６０分です。,1,1,0,東京都千代田区,5,0
0,正社員,0,9:00〜17:15　<BR>※残業は月１０〜２０時間と少なめです。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,3,1
0,正社員,0,9:00〜17:15　<BR>※残業は月１０〜２０時間と少なめです。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,3,1
0,正社員,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は５０分です。,1,1,0,東京都港区,1,1
0,,1,10:00〜15:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都中央区,3,0
0,,1,10:00〜15:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都中央区,3,0
0,,0,9:00〜18:00　<BR>※残業は月５〜２０時間と少なめ。<BR>※休憩は６０分です。,0,0,1,東京都杉並区,2,0
0,,0,9:00〜18:00　<BR>※残業は月５〜２０時間と少なめ。<BR>※休憩は６０分です。,0,0,1,東京都杉並区,2,0
1,,0,9:00〜17:40　<BR>※残業は月５〜２０時間程度と少なめです。<BR>※休憩６０分。,0,0,1,東京都千代田区,1,0
0,正社員,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,3,1
0,,0,9:30〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都台東区,1,1
0,,1,9:00〜17:00　<BR>※休憩は６０分です。,0,0,0,東京都文京区,1,1
1,,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都渋谷区,1,1
1,,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都渋谷区,1,1
0,正社員,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,0
0,正社員,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,0
0,,1,10:00〜16:00　<BR>※休憩６０分。<BR>※８：４５〜１７：３０の勤務も相談可能です。,0,0,0,東京都新宿区,4,0
0,,1,10:00〜16:00　<BR>※休憩６０分。<BR>※８：４５〜１７：３０の勤務も相談可能です。,0,0,0,東京都新宿区,4,0
0,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都新宿区,1,1
0,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都新宿区,1,1
0,,1,9:30〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,1,1
